tag,Yuzuki Choco,Shiranui Flare,Amane Kanata,Himemori Luna,Robocosan,Takanashi Kiara,Regis Altare,Nekomata Okayu,Ninomae Ina'nis,La+ Darknesss,Nakiri Ayame,Hakos Baelz,Hanasaki Miyabi,Moona Hoshinova,Omaru Polka,Usada Pekora,Yatogami Fuma,Kaela Kovalskia,Mori Calliope,Tokoyami Towa,Hakui Koyori,Axel Syrios,Yukihana Lamy,Shirakami Fubuki,Oozora Subaru,Kazama Iroha,Airani Iofifteen,Tsunomaki Watame,Kureiji Ollie,Ouro Kronii,Aragami Oga,Kanade Izuru,Pavolia Reine,Utsugi Uyu,Kobo Kanaeru,IRyS,Inugami Korone,Yukoku Roberu,Houshou Marine,Arurandeisu,Aki Rosenthal,Astel Leda,Hoshimachi Suisei,Momosuzu Nene,Vestia Zeta,Anya Melfissa,Sakura Miko,Takane Lui,Shishiro Botan,Ookami Mio,Ayunda Risu,Rikka,Shirogane Noel,Minase Rio,Kishido Temma,Kageyama Shien,Natsuiro Matsuri,Tokino Sora,AZKi
12th century,0.0,0.0,0.0,2.984390548381727e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8725972245968656e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-bit,0.0,0.0,0.0,0.0,0.0,3.6743587511127376e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1065232675168655e-21,0.0,0.0,1.9621174881807773e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18th century,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5638106310047184e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004236374301955584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.955814296883762e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.719725456293905e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980s,1.3759559841846021e-11,0.0,0.0,1.17935132424928e-14,1.263768290003237e-18,7.184116454219224e-05,6.406166124867723e-18,5.053112612642851e-19,6.693788000830374e-11,1.034956054117229e-24,0.0,0.0,1.6237718743965175e-17,0.0,2.6065685295657785e-10,3.450985791318296e-19,0.0,0.0,4.41216109291735e-24,0.0,1.0418520372413807e-17,4.796340780509912e-07,0.0,6.470035842899417e-19,3.646282324265298e-19,0.0,0.0,1.942553819938012e-16,0.0,6.858602192611402e-14,0.0,2.5729275472335887e-14,0.0,0.0,5.701757928665822e-17,1.8848303896496394e-11,9.457209870652152e-17,7.519435836128306e-18,0.0,3.140027506031616e-25,0.0,0.0,0.0,0.0,0.0,0.0,9.845372453870264e-19,1.4474123686747195e-18,2.1599073690864357e-24,2.0590494632820674e-07,0.0,8.794354139277973e-14,0.0,0.0,0.0,6.202450197381723e-17,0.0,0.0,5.242654579696292e-11
1990's,0.0,0.0,0.0,0.0,2.0077675416546115e-23,5.0450331012394276e-23,0.0,1.0308098797864333e-23,1.8488032988138185e-14,9.397205756390464e-07,0.0,5.0178372630898425e-23,0.0,3.1257006430284514e-22,0.0,7.547678856739363e-22,0.0,1.719219390483294e-21,3.697729342530814e-23,0.0,1.1664038691158306e-22,0.0,0.0,1.9520808198778807e-23,1.5631451539442881e-23,0.0,5.585197854760915e-23,9.646436788050847e-17,1.5064275098046132e-19,2.3884323055459336e-13,1.3757628997349123e-11,0.0,9.396597212302864e-23,0.0,0.0,6.45502536507121e-23,5.541625990836472e-23,0.0,1.3402076341882477e-22,5.466109166826774e-14,1.6177154847785665e-23,0.0,8.691917583826706e-23,1.8440878625445068e-23,8.967122056673158e-23,0.0,1.4153005553264984e-23,0.0,1.01763391666088e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.724199275032022e-23,0.0
1990s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.646436788050847e-17,0.0,2.3884323043291854e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.342197818939641e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5d,0.0,0.00019618429049655353,0.0,0.0,0.0,0.0021526558418637595,0.0,0.0004623851507592973,0.010871041690489984,0.0,0.0,0.00852319583159464,0.0,0.0,0.0,0.0,0.0,1.9779267677783952e-05,0.0,0.016056268236431373,1.5832181548909053e-17,0.0,0.0,0.0,0.0,0.0,1.192644698755295e-06,0.000944201003716973,0.0,0.0,0.0,0.0,0.006239337743209939,0.0,1.1006967895707297e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018949950297368685,0.0049458416704222215,0.0,0.004859818025730504,0.0007158951102760436,0.0,3.059194548038249e-07,0.000299894035287464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21st century,0.0,0.0,0.0,0.0,0.0,0.0,2.8710444704589626e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0887252472372404e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.795926644253867e-09,0.0,0.0,0.0,0.0,0.0,1.3675248792696546e-09,3.5088770899417136e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7487392843704934e-07,0.0,0.0,0.0,0.0,0.0,9.73674566028321e-10,0.0,0.0,0.0,3.2873379130135556e-23,0.0,0.0,0.0,0.0
