tag,Yuzuki Choco,Shiranui Flare,Amane Kanata,Himemori Luna,Robocosan,Takanashi Kiara,Regis Altare,Nekomata Okayu,Ninomae Ina'nis,La+ Darknesss,Nakiri Ayame,Hakos Baelz,Hanasaki Miyabi,Moona Hoshinova,Omaru Polka,Usada Pekora,Yatogami Fuma,Kaela Kovalskia,Mori Calliope,Tokoyami Towa,Hakui Koyori,Axel Syrios,Yukihana Lamy,Shirakami Fubuki,Oozora Subaru,Kazama Iroha,Airani Iofifteen,Tsunomaki Watame,Kureiji Ollie,Ouro Kronii,Aragami Oga,Kanade Izuru,Pavolia Reine,Utsugi Uyu,Kobo Kanaeru,IRyS,Inugami Korone,Yukoku Roberu,Houshou Marine,Arurandeisu,Aki Rosenthal,Astel Leda,Hoshimachi Suisei,Momosuzu Nene,Vestia Zeta,Anya Melfissa,Sakura Miko,Takane Lui,Shishiro Botan,Ookami Mio,Ayunda Risu,Rikka,Shirogane Noel,Minase Rio,Kishido Temma,Kageyama Shien,Natsuiro Matsuri,Tokino Sora,AZKi
1980s,4.84555000493834e-11,0.0,0.0,1.0139752635365426e-13,1.201211077048367e-17,0.0,5.082836396769151e-17,4.1047946983709594e-18,0.0,0.0,0.0,0.0,1.6412762836085186e-16,0.0,2.639268508031641e-19,3.2009230731526703e-18,0.0,0.0,0.0,0.0,9.11135816316909e-17,0.0,0.0,2.681091975235895e-18,3.0769397014728116e-18,0.0,0.0,1.4094081435972194e-15,0.0,0.0,0.0,1.0707121324782161e-13,0.0,0.0,2.4995722431060517e-16,8.536173166788236e-11,9.839754537065985e-16,8.662345767136895e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0103723720724074e-17,9.222846847422655e-18,0.0,0.0,0.0,1.0676318795806506e-12,0.0,0.0,0.0,1.6458673572996364e-16,0.0,0.0,4.059112328939146e-10
2.5d,0.0,0.001663105195993792,0.0,0.0,0.0,0.016765296875251308,0.0,0.003756093047864099,0.06866518564891733,0.0,0.0,0.04418396252413384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054655027726884686,1.384579301475287e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.006850593122170668,0.0,0.0,0.0,0.0,0.01753261707205131,0.0,4.825303314710732e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07205585026759,0.03201504613347176,0.0,0.030966543003011448,0.0075783959239647475,0.0,0.0,0.003640704337104032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2d,3.645783582483723e-17,7.135097742132781e-11,5.338905941295641e-18,0.0012293458499740117,8.109274729677276e-05,1.0857176455247755e-08,2.1061255795831213e-05,0.004587702425034846,1.0759337536107489e-20,0.0,0.0,8.570287226856044e-09,2.5157301582612424e-21,1.294177988875726e-07,2.411070975717183e-06,5.470783273502739e-10,0.0,9.032981024246064e-08,8.184819950552788e-05,0.0004289744550875902,3.992272721166485e-16,0.024611136529887466,9.68875490418124e-18,0.034763539633665935,1.5005624224144316e-11,0.0,0.059605534894599625,2.7208071259440165e-18,3.5634045162488358e-06,1.3047486096062459e-05,9.70736442543765e-21,0.04070365165901204,3.842762009610818e-09,4.017501186305051e-11,0.06152835670343221,2.0396768580523743e-13,6.827238749940428e-10,1.2802021186931045e-17,5.27242551391086e-16,0.008560508945637844,0.0,5.8368669049813675e-06,0.0,0.0007236282107911963,0.0008186031709673473,1.8779556083684847e-17,0.1375692803146269,3.014965573918702e-11,2.0852849966959553e-16,1.6419817709068462e-17,0.06432439216833512,1.9962969293433955e-22,0.0032500691424322543,1.699363647544889e-23,0.00039238235845470265,4.348502318416095e-05,0.0,8.779133563567406e-06,6.918625887489486e-06
2d platformer,0.0,0.0,0.0,0.0,0.0,1.085712607779243e-08,0.0,0.0,0.0,0.0,0.0,8.570287223106752e-09,0.0,0.0,0.0,4.4608689442793945e-11,0.0,1.8764224309442984e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.882422529127986e-13,0.0,0.0,0.0,0.0,0.0,4.0175011637958097e-11,0.0,0.0,0.0,0.0,0.0,1.0041099949519419e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1528340443745978e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3876617977410773e-06,0.0
3d,0.23722069583857136,0.11954444970987843,0.0662887058865601,0.031082087397659854,0.004995155750004923,0.026301804333599476,0.0076896522505785405,1.550742925973511e-05,0.018635672445425515,8.794166157325026e-07,0.24213353458884534,8.767524868219028e-06,0.1305482498084853,8.344289878951125e-06,0.12106885717188624,8.939152608966814e-05,0.18216909836190065,0.0067992879934843375,0.009664575206950604,0.0037553327587961146,0.005059679939188406,0.014312759312947763,0.0006999494034889203,0.05819454049999793,6.867937093489622e-06,0.022703272063746293,1.563252352424804e-13,0.046038110090984255,0.048572497026207175,0.0004868467667212547,2.5937547391964914e-16,0.0064481450297963665,2.8744597706198085e-05,0.005078772744019551,5.392497954217542e-09,0.0004441559628498664,0.10869867867845619,0.13242115888836556,0.2480053918781615,0.09596596904660937,0.11079588832970394,9.750020211870197e-05,0.12043980642304111,0.001418558192411065,1.967412757786572e-13,0.0033283136097423415,0.0004956818816108803,0.009359786035956559,0.000624710926968285,0.00018501812560842664,1.4976709523309536e-05,0.13388160930096182,0.044304114429459446,0.019312055287545926,0.06179125571207806,0.0010574653820652397,0.056470010290647986,1.556468352178419e-09,0.036578751441689886
abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4608689442793945e-11,0.0,2.545187272166334e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9622288440883436e-13,0.0,0.0,0.0,4.0175011637958097e-11,0.0,0.0,0.0,0.0,0.0,1.0041099949519419e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1528340443745978e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.881490832252283e-20,1.3876617977410773e-06,0.0
achievements,0.0,0.001663105195993792,0.0,0.0,0.0,0.016765296875251308,0.0,0.003756093047864099,0.06866518564891733,0.0,0.0,0.04418396252413384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054655027726884686,1.384579301475287e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.006850593122170668,0.0,0.0,0.0,0.0,0.01753261707205131,0.0,4.825303314710732e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07205585026759,0.03201504613347176,0.0,0.030966543003011448,0.0075783959239647475,0.0,0.0,0.003640704337104032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action roguelike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162347652327277e-21,0.0,0.0,0.0,0.0,0.0,2.3390169139696674e-21,0.0,0.0,0.0,0.0,7.488156012044224e-21,0.0,0.0,0.0,7.683666140083296e-13,0.0,0.0,2.3299115239411263e-13,0.0,0.0,0.0,1.618733219026152e-18,0.0,4.0588900507569475e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.007630284126809e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.98295352785168e-19,0.0,0.21633271460066186,0.0
action-adventure,1.8835929577861959e-06,0.0,0.0,1.2225680115897373e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119643966188932e-13,0.0,0.0,0.0,3.970098443478774e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.09023769117354e-09,8.590609281735657e-09,0.0,0.0,4.223164662236327e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2500665932118665e-13,2.819832817783285e-13,0.0,8.597887030980007e-09,4.682392144179068e-07,0.0,0.0,0.0,0.0,7.686053007393307e-14,2.8208918989799684e-08,3.901430913081194e-14,1.8931266672184e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture,0.0,0.0,0.0,1.2986074492194515e-12,8.109274729676114e-05,5.033959033644468e-14,0.0,7.782015428126502e-14,0.0,0.0,0.0,0.0,0.0,0.0,2.41100385287061e-06,0.0,0.0,0.0,1.4282648813017176e-09,0.0004289744550131133,0.0,0.0,0.0,0.0,0.0,0.0,2.115636879871251e-12,0.0,6.916282695603183e-14,0.0,0.0,0.007013883420036842,0.0,0.0,0.0,5.978509139958373e-17,0.0,0.0,0.0,0.008556675410476576,0.0,5.8368669049813675e-06,0.0,0.0,3.327012141245089e-13,0.0,0.0,0.0,2.031770878373126e-16,2.175566351611477e-22,2.1722536605333095e-25,0.0,0.0,0.0,0.0,0.0,0.0,7.370519872068847e-06,0.0
