tag,Tokoyami Towa,Mori Calliope,Takane Lui,Ookami Mio,Kageyama Shien,Hakos Baelz,Hoshimachi Suisei,Vestia Zeta,Rikka,Yatogami Fuma,Ayunda Risu,Kazama Iroha,Nakiri Ayame,Tsunomaki Watame,Shiranui Flare,Kishido Temma,Kobo Kanaeru,Astel Leda,Minase Rio,Ninomae Ina'nis,Himemori Luna,Axel Syrios,Inugami Korone,Kanade Izuru,Momosuzu Nene,Hakui Koyori,Pavolia Reine,Moona Hoshinova,Takanashi Kiara,Yuzuki Choco,Shirogane Noel,Oozora Subaru,Shishiro Botan,Nekomata Okayu,Robocosan,Sakura Miko,Anya Melfissa,Aki Rosenthal,Aragami Oga,IRyS,Amane Kanata,Ouro Kronii,Yukoku Roberu,Airani Iofifteen,Yukihana Lamy,Usada Pekora,Arurandeisu,Natsuiro Matsuri,Regis Altare,Shirakami Fubuki,Houshou Marine,Utsugi Uyu,Kaela Kovalskia,Kureiji Ollie,AZKi,Omaru Polka,Tokino Sora,Hanasaki Miyabi,La+ Darknesss
1-bit,6.059298634707323e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4737283603481976e-19,5.409245378607042e-09,0.0,0.0,0.0,0.0,8.038775687258779e-21,0.0,1.1223595316007352e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-bit,0.0,0.0,1.5292667536736209e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3623327018895014e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5036257112989067e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.240597057904554e-25,0.0,0.0,0.0,0.0
1980s,0.0,2.860019202497729e-16,5.976011053224366e-08,0.0,2.8001523120584792e-15,0.0,1.8187303920984178e-08,2.184505680164778e-16,2.892329156155274e-13,0.0,0.0,0.0,0.0,2.597063801689798e-08,0.0,7.990988219626545e-07,1.6573743819193937e-09,9.027844207327539e-08,8.859995082297676e-09,0.0,3.810493763750787e-06,6.58329035219869e-22,4.087257169348911e-14,1.068234486494842e-05,0.0,2.054244508036432e-12,2.5095760009452174e-16,0.0,1.4359622104290265e-19,1.7181345110141314e-07,1.191695828770114e-07,1.734415730390259e-08,2.961680251542171e-08,4.518908798390357e-16,4.055103708227041e-05,4.1950085446816344e-08,3.7208700166458395e-08,0.0,1.4305720010127277e-13,5.432144716895985e-09,1.7480940063044444e-17,0.0,1.1446775368229014e-17,4.917790806552697e-17,4.991494442721213e-08,9.521936456005296e-09,7.676591097564817e-08,0.0,0.0033541749106547137,2.0328607678356464e-13,0.0,1.0425451463699795e-12,0.0,7.563078405432178e-16,3.67952941666909e-08,8.986060564278203e-09,0.027039909994902512,2.883787377950027e-17,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259978487521558e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990s,0.0,2.4500094410553586e-22,5.704141970682676e-08,0.0,3.06045695795258e-20,1.4162746056636616e-21,1.3288713092470775e-22,9.04543960134919e-22,2.685623840646128e-23,5.781437738692991e-14,1.577665819163348e-25,0.0,0.0,2.5970651327145763e-08,0.004179428042618852,0.0,6.8235590230155655e-22,0.0,0.0,2.962840063378531e-14,2.5768379220094584e-08,0.0,6.705277821961785e-14,4.834666755285107e-09,5.676643147409683e-23,2.053700954293947e-12,1.0607054179479713e-08,4.0115649602616256e-22,6.946575969511118e-11,2.326854829643235e-07,1.1916958287960697e-07,1.7344157010835583e-08,2.9606290507148606e-08,2.924689943667172e-23,1.30865962544885e-22,3.846098361280963e-08,3.720872549807221e-08,4.2761313861170994e-23,1.0161403288426415e-11,3.878626746379007e-23,0.0,9.446587545474827e-23,3.658023620124283e-14,4.52367474191723e-23,4.9914944427808776e-08,9.52223448566745e-09,2.5467954813443578e-06,0.0,0.0,2.0328060514286577e-13,7.535097208163503e-23,0.0,3.731975807427787e-20,1.9773561638727245e-19,3.6720771907194016e-08,8.98606056421623e-09,3.079771314463137e-23,5.481338914370042e-14,2.099094849995929e-06
2 players,0.0,1.6193603501336678e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014500601157186343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5d,0.021317651425445963,3.410507310196779e-08,0.012531640682403549,0.0,0.0,0.014785376949860216,0.0,0.019927945282737718,0.000986305814255286,6.655759219288319e-15,0.0,0.0,1.820326495024942e-19,0.002233662263060191,0.0003846411758782116,0.0,3.480335040153224e-15,0.0,0.0,0.01742162504356586,0.0,3.522379471237998e-12,0.0,0.0,0.0,4.2674927285651805e-17,0.00655377863605746,0.0,0.00504081677742399,0.0,0.0,0.0,0.002165120013907999,0.0013119133091806677,0.0,0.0,0.010551485729910371,0.0,0.0,5.1552376510353096e-14,0.0,0.0,0.0,1.135993879212906e-14,1.876448073876559e-22,2.432467024059164e-16,0.0,0.0,2.3544898277417975e-16,6.436608613945869e-14,0.0,7.03151012477793e-16,2.3508516701805036e-12,0.0,0.0,0.0,0.0,0.0,0.0
2d,0.00017967723566565455,2.3051024633621355e-05,0.0027040860139938686,0.03386804216399419,0.03848543181312874,0.007301417446609791,4.6663788375285014e-05,0.009367214157871546,0.0003873758356796609,0.012571602045792206,0.03804282225409393,6.17826234199492e-05,0.0005681346600476675,0.0012011637559670783,0.007132941188884546,6.266221314832477e-05,0.003453618580564554,1.951634945515682e-06,0.00011366438862792448,0.012049413337215636,0.00040742286581857623,0.0069683977073349826,0.000552105032810576,0.018189705327859525,0.0008021186273657762,0.001262698815205514,0.03998941946617008,1.75128295611534e-08,0.003510060803092126,1.2328837461423598e-05,0.00854576824627464,1.5612767935253554e-06,0.00016369699095378625,0.0029831606587780684,0.0015379604469706572,0.04862863008664719,0.0012299904967927923,0.00010525215193361482,0.015647087001359177,9.4153049395164e-05,0.0037248652566801276,0.006279094491228607,0.0009287768151363495,0.024663027718608472,0.012261085315507297,4.034397179213989e-05,0.004184193431505057,0.0005447106086167303,6.892799665616329e-06,0.017020043536816222,0.00012731659263453716,1.3519435864351396e-11,0.0005551499188480737,0.008589350258432351,0.016520868699709562,0.0064195006396910205,0.03228447751142306,0.0003918055942726129,2.100377927518862e-06
2d fighter,0.0,1.1491146329643281e-22,0.0,0.0,0.0,8.704553652612439e-23,1.3288713092470775e-22,9.43091138251493e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962840063378531e-14,0.0,0.0,1.1895507241394992e-22,0.0,5.676643147409683e-23,3.1439887261557414e-22,9.870152986772762e-23,4.0115649602616256e-22,1.181381947118713e-22,0.0,0.0,4.8736524218652965e-23,3.0776848844500423e-23,2.924689943667172e-23,3.1471835334991406e-23,5.133746049152308e-23,0.0,4.2761313861170994e-23,1.0161403268503663e-11,3.878626746379007e-23,0.0,9.446587545474827e-23,0.0,4.2986829408287126e-23,0.0,2.2048771947473623e-21,2.0196646172556142e-13,0.0,0.0,2.9476160956946037e-23,7.535097208163503e-23,0.0,8.55420039053965e-22,1.9765459493637444e-19,0.0,0.0,3.079771314463137e-23,0.0,2.099094849995929e-06
2d platformer,0.0,4.045243650346925e-16,0.0,0.0,2.9096860524605272e-06,2.867894139032704e-09,0.0,9.312528584173119e-16,4.1691092364369313e-19,6.655759219288319e-15,0.0001494302394509887,0.0,0.0,1.2658788133982892e-13,0.0,0.0,8.206041314329766e-16,1.8567774049522751e-13,4.768426496633867e-08,0.0,0.0,1.5635783184133264e-05,1.2856249035866146e-16,7.595700432114648e-08,0.0,0.0,0.020974825803859884,1.9657856112103927e-24,3.264410751786107e-09,0.0,0.0,0.0,1.2918586592303874e-16,3.5298737225853615e-19,0.0,4.074770835246415e-11,5.398209660752497e-16,0.0,7.731273268182806e-05,4.004366972323815e-16,0.0,7.88240022100228e-11,0.0008698473060153528,0.0,0.0,1.4119604565724233e-11,2.7122031653695605e-11,0.0,2.354518959666111e-16,6.218398182337993e-20,0.0,1.2427419298864285e-11,1.4079142732097281e-09,6.255084307639172e-07,0.0,8.744163112796629e-08,0.0009909622611701948,1.4722360581619793e-05,0.0
